,Unnamed: 0,emphasized,actual,sentiment
110005,110005,hellll,hell,-1
110006,110006,hhhhhhhell,hell,-1
110008,110008,hhhhhhell,hell,-1
110009,110009,heeeell,hell,-1
110010,110010,helllllllllllll,hell,-1
110014,110014,heeeeeeeeeeeeell,hell,-1
110015,110015,heeeeeeeeell,hell,-1
110016,110016,hhhhhhhhhhhhhell,hell,-1
110018,110018,heeell,hell,-1
110019,110019,helllllllllllllll,hell,-1
110020,110020,heeeeeell,hell,-1
110021,110021,heeeeeeeeeeell,hell,-1
110022,110022,hhhhhhhhhhhhell,hell,-1
110024,110024,helllllll,hell,-1
110025,110025,heell,hell,-1
110028,110028,heeeeeeeeeeeell,hell,-1
110029,110029,hhell,hell,-1
110031,110031,helll,hell,-1
110033,110033,helllllllll,hell,-1
110035,110035,hellllllll,hell,-1
110036,110036,hellllllllll,hell,-1
110038,110038,hellllll,hell,-1
110039,110039,hhhhell,hell,-1
110040,110040,heeeeeeeeeeeeeell,hell,-1
110043,110043,hellllllllllll,hell,-1
110045,110045,hellllllllllllll,hell,-1
110046,110046,hhhhhhhhell,hell,-1
110054,110054,helllllllllll,hell,-1
110065,110065,hhhhhhhhhhhell,hell,-1
110067,110067,hhhhhhhhhhhhhhell,hell,-1
110072,110072,hhhhhell,hell,-1
110075,110075,hhhhhhhhhell,hell,-1
110096,110096,heeeeell,hell,-1
110099,110099,hhhell,hell,-1
110101,110101,heeeeeeell,hell,-1
110130,110130,heeeeeeeell,hell,-1
110138,110138,heeeeeeeeeeeeeeell,hell,-1
